,Market_Balanced_Benchmark,Market_Balanced_MeanVariance,Market_Balanced_MaxSharpe
2023-05-08,0.7595699386254051,0.806387356279842,0.6227492887936599
2023-05-09,0.7514662415717148,0.7978256537770765,0.6157663538471899
2023-05-10,0.7456385231440196,0.7912213271164045,0.6104929527573518
2023-05-11,0.7426255179015059,0.788040919141012,0.607794025166406
2023-05-12,0.7458032369380032,0.7924143098435771,0.6150074596653222
2023-05-15,0.7518422690651932,0.8016066382988966,0.6239134586363124
2023-05-16,0.7430696251630148,0.7920894939650325,0.615132287845201
2023-05-17,0.7480776041333284,0.7960223085336322,0.6198337646084368
2023-05-18,0.7477592896643422,0.7956715349732858,0.6196055667540286
2023-05-19,0.7406516645416791,0.7875205866983215,0.6128788410450944
2023-05-22,0.7364413771142078,0.7844109140754915,0.6084458635490746
2023-05-23,0.735483759043776,0.7831200251409314,0.607980621021586
2023-05-24,0.7372176876729127,0.7849718910738779,0.6093604519998517
2023-05-25,0.7399536102565892,0.787207825154304,0.6125554578740342
2023-05-26,0.7391142765965525,0.7864410983073251,0.6118121505761318
2023-05-29,0.7412237349658508,0.7883866308686088,0.6143989228101069
2023-05-30,0.7329786710174415,0.7784422285576634,0.6070652250382667
2023-05-31,0.7318193775554626,0.776629470832878,0.604462333596634
2023-06-01,0.7302284530070844,0.7749854460114142,0.6027712372333982
2023-06-02,0.7332452377720345,0.778090221930442,0.6060890477578799
2023-06-05,0.7337944506780587,0.7786586720342435,0.605771217383078
2023-06-06,0.7343354837061544,0.7791829464865052,0.6061789110671272
2023-06-07,0.7320145044127597,0.7773038371929937,0.6044214711750467
2023-06-08,0.728851657408029,0.7741926035329776,0.6018759482376265
2023-06-09,0.73123077070263,0.778086647365626,0.6058955993584985
2023-06-13,0.7241836721433073,0.7707578350724952,0.5996518110836521
2023-06-14,0.6881187134210146,0.7324791523602835,0.5658722175299813
2023-06-15,0.6891053202252497,0.7330594151641677,0.5666794463375471
2023-06-16,0.6956994050320776,0.7398628295348232,0.5732183810604045
2023-06-19,0.6959597183425059,0.7393713494331094,0.5753705303535389
2023-06-20,0.6947188356072971,0.738343269785815,0.574518685585181
2023-06-21,0.6955661722094774,0.7387268659520004,0.5760482929688975
2023-06-22,0.6975039372426242,0.7399243795078123,0.576594521319744
2023-06-23,0.6954947270806086,0.7348597189400075,0.573795129051755
2023-06-26,0.6984856985163737,0.737964152833832,0.5768732747389781
2023-06-27,0.6899107521014259,0.7278693701664881,0.570471764813682
2023-06-28,0.6910317302321086,0.7295519015614162,0.5721699582893702
2023-06-29,0.6895007495616947,0.727273559323079,0.571959868647717
2023-06-30,0.6854292190505179,0.7237831847400142,0.5695564296011804
2023-07-03,0.6900816370584021,0.7279287953721606,0.5741747146799212
2023-07-04,0.69265090834637,0.7302251274859373,0.5769121498616167
2023-07-05,0.6918309496428574,0.7293623530025724,0.576149305977015
2023-07-06,0.6892365407945659,0.7237252253939096,0.5735238508146848
2023-07-07,0.6942883345879901,0.727964754370943,0.5783118401196767
2023-07-10,0.6915879746344437,0.7250311359224301,0.5758516948408823
2023-07-11,0.6983364154568396,0.7327440297068659,0.5820174865115436
2023-07-12,0.6962191604190535,0.7308818303988165,0.5807812221788501
2023-07-13,0.7021656961493374,0.7344373050779817,0.585808617716266
2023-07-14,0.7029790713998728,0.7351596816473521,0.5865346689787996
2023-07-17,0.7042277007814888,0.7363283337614351,0.5877639573147656
2023-07-18,0.6988644709721253,0.7289303011251146,0.5821470212375882
2023-07-19,0.700084023193473,0.730188700044975,0.5832335286216354
2023-07-20,0.6900624688405919,0.7191498451057997,0.5750522394200296
2023-07-21,0.6900828338641823,0.7191106739922666,0.5752438147967412
2023-07-24,0.6910629891864822,0.7201704043433591,0.5764175541891562
2023-07-25,0.6881581081579345,0.717107072759669,0.574061736845079
2023-07-26,0.6894928429000913,0.7182953200649859,0.5755020889169292
2023-07-27,0.6901565010322233,0.7189701144472995,0.5757204854303375
2023-07-28,0.6879877774911914,0.7161125916529453,0.5735228784560429
2023-07-31,0.6858916629045871,0.7141058392454934,0.5715035716588166
2023-08-01,0.6811772235113481,0.7095059732375829,0.5674139053061915
2023-08-02,0.6962118474288476,0.7230917227769598,0.5827864377399166
2023-08-03,0.7019402275850856,0.7287858433834316,0.588620074318402
2023-08-04,0.700514091322764,0.7268669642131845,0.587121162586659
2023-08-07,0.6998735629166022,0.7262845124384285,0.5865254618000308
2023-08-08,0.7018139748873341,0.72781942983243,0.5884186735607698
2023-08-09,0.7023545038109127,0.7282975611626721,0.5889143712995124
2023-08-10,0.7049487328657393,0.730769590240355,0.5910363991358152
2023-08-11,0.6954712689654343,0.7205797220443086,0.5830080677294867
2023-08-14,0.6955764982029881,0.7202062542848875,0.5830904131744401
2023-08-15,0.698622681158867,0.7231404019654801,0.5861005726533761
2023-08-16,0.7000337569889549,0.7251136587518348,0.5870601051691611
2023-08-17,0.7027925304856177,0.7280036449870315,0.5896953398755445
2023-08-18,0.6997139601598548,0.7251727000725904,0.5869659970907715
2023-08-21,0.6976433461145901,0.7228171721847142,0.5851893859228853
2023-08-22,0.6948054719483041,0.7199526977571871,0.5822584142118092
2023-08-23,0.6926604532368467,0.7175298619779857,0.5808274050874371
2023-08-24,0.6926110117991924,0.7173588499691156,0.5805989672349292
2023-08-25,0.701220065909634,0.7273206258071906,0.5898403345434746
2023-08-28,0.702472307145305,0.7286125931504673,0.5909438189120004
2023-08-29,0.6869659318512408,0.7102947655066735,0.5767930246087825
2023-08-30,0.6906019894775832,0.7139070572246268,0.5799498061362706
2023-08-31,0.6900580675177698,0.7133358015025301,0.5793433694169514
2023-09-01,0.6855417843310209,0.7080552880113996,0.5748034728547119
2023-09-04,0.6820141956558432,0.7040860755302962,0.5711039007366322
2023-09-05,0.6756605815890556,0.6975866241842322,0.5650732994458088
2023-09-06,0.6804887466689578,0.702860876126533,0.5695911424140262
2023-09-07,0.676086286545929,0.6983589147022005,0.5653114876616149
2023-09-08,0.671280972951772,0.6932353624865585,0.5610675862360553
2023-09-11,0.6793666494261184,0.7007735075397233,0.5689105371897829
2023-09-12,0.6744076031422941,0.6951806922807475,0.5642390159278395
2023-09-13,0.6834291050073698,0.7046514167788939,0.5721792932899161
2023-09-14,0.6592114560675499,0.6782927879700679,0.5498632313670899
2023-09-15,0.6602399212360887,0.6793568713075809,0.5504247905024162
2023-09-18,0.6561919625205365,0.6751999880793016,0.5467370051247287
2023-09-19,0.6571720482147714,0.6758435294627656,0.547549308999295
2023-09-20,0.6554349101920118,0.6734262352571136,0.5459115910499414
2023-09-21,0.6525071472000521,0.6697265608634579,0.5434228177707173
2023-09-22,0.6382431860864908,0.6550979536670964,0.5311895239138467
2023-09-25,0.6197574857015149,0.6334061260479762,0.5126470796222503
2023-09-26,0.6203368001073005,0.6337291889539285,0.5134323694148217
2023-09-27,0.6190017451823558,0.6318048841224434,0.5118039233076311
2023-09-28,0.615282916115081,0.6278460915380434,0.5082679176547665
2023-09-29,0.6160180744764618,0.6282049225353006,0.509833642748146
2023-10-02,0.6184569221536178,0.6317220690181814,0.5124547897018935
2023-10-03,0.597516562450175,0.6098087476388163,0.49355065417274124
2023-10-04,0.5979097129953801,0.6103086090598754,0.4950499697707328
2023-10-05,0.6000627833597183,0.6131220343559469,0.4964875750094834
2023-10-06,0.5931440897304747,0.6049591685171651,0.49025563889733326
2023-10-09,0.5849988101158058,0.5940521593832547,0.48224379342758844
2023-10-10,0.5851047033002905,0.594075404637395,0.48121943046141596
2023-10-11,0.5855954619064127,0.5946610180750181,0.48142837466413835
2023-10-12,0.5839088871325856,0.5924902241513785,0.47987442464364827
2023-10-13,0.5917177512716632,0.6006094051193209,0.48704147027004624
2023-10-16,0.5913391165416925,0.6001285437076463,0.48656914146507757
2023-10-17,0.5772579263162129,0.5840023448894156,0.4735291876079899
2023-10-18,0.5788667217082614,0.5854674864081466,0.474328794872359
2023-10-19,0.5774723798858995,0.583541348150049,0.4728542234063894
2023-10-20,0.5785833449458281,0.5844678413102751,0.4730125907127846
2023-10-23,0.5965805127336182,0.6046488649952282,0.4896722118562432
2023-10-24,0.5977978849906671,0.605344217265389,0.4910113626663139
2023-10-25,0.5948616489670167,0.6022592546005805,0.4873296563001516
2023-10-26,0.5969581787846026,0.6045398903154995,0.4890749301088258
2023-10-27,0.595235694784547,0.6010352016930356,0.4880690103277069
2023-10-30,0.5940740248012182,0.5992805855935073,0.4875273234476702
2023-10-31,0.5942632321937115,0.6029535334192873,0.4907117312848172
2023-11-01,0.5936294684158981,0.6023022889271029,0.48903998537239646
2023-11-02,0.5889194778809165,0.5962553932348024,0.48422161255948887
2023-11-03,0.6274849298933358,0.6407078539352885,0.518239858426961
2023-11-06,0.6174548434652891,0.6298007505411478,0.5076160202473947
2023-11-07,0.6139787672898701,0.6259858896952604,0.5049674373929383
2023-11-08,0.6200326979870622,0.6323885042923872,0.5112045088616843
2023-11-09,0.635750903115181,0.6500713954242696,0.5246870724657081
2023-11-10,0.5793531668983176,0.5831051587546644,0.46774528888649713
2023-11-13,0.5757779055817853,0.5792193632794761,0.46375952861957825
2023-11-14,0.5841560727662161,0.5875014719699485,0.46988440818513116
2023-11-15,0.6051102718620183,0.6081621254796978,0.48901304782559424
2023-11-16,0.6026973064796699,0.6050227404587364,0.4860284683307597
2023-11-17,0.6012881945390848,0.6034778510658797,0.4845841261855535
2023-11-20,0.6062967222792685,0.6090962186604154,0.488891572168277
2023-11-21,0.6091302293079487,0.6122351073583729,0.4919153639545398
2023-11-22,0.6068411988569826,0.6091992044080141,0.4891177182320427
2023-11-23,0.6034215375636233,0.6054604157944687,0.4854656242406626
2023-11-24,0.6044522976899057,0.6063441112915114,0.4863578814189094
2023-11-27,0.603755072988076,0.6044551409137828,0.4839805554706504
2023-11-28,0.6221858098234998,0.6244730598048338,0.5012602342401609
2023-11-29,0.6226892481661449,0.6283078912389374,0.5015673318779036
2023-11-30,0.6056185043037579,0.6084357873152444,0.48353367292242666
2023-12-01,0.6050673824567527,0.6084338460025308,0.4838677455964818
2023-12-04,0.6028002113936982,0.606462665774884,0.4818148431250224
2023-12-05,0.6050376037890232,0.6082814448015836,0.4837356850692981
2023-12-06,0.5990120080281952,0.5992651656059766,0.476529921296323
2023-12-07,0.602119375258713,0.6024360703975521,0.4786105656660691
2023-12-08,0.6002854413282106,0.5995580159924626,0.47565551135098155
2023-12-11,0.6000463952577171,0.598595238970225,0.4746918523704564
2023-12-12,0.6109512306792374,0.6062893812367102,0.4828798353451588
2023-12-13,0.6069433261156836,0.6022877013474686,0.4796155773600033
2023-12-14,0.6336993230876377,0.6273906564401831,0.5026759060579487
2023-12-15,0.6265762032627897,0.61793902016491,0.49588119777026485
2023-12-18,0.625689692969539,0.6167939401037649,0.49493768624818146
2023-12-19,0.6225053436916554,0.6138190032388315,0.49286414605857404
2023-12-20,0.6217680695347321,0.6130589912968866,0.4927380908774215
2023-12-21,0.6158805807789249,0.6063724796579919,0.4879053222856177
2023-12-22,0.6167115775363351,0.6073353083785468,0.4887549198785364
2023-12-27,0.6182939583556032,0.6084885057691279,0.4898098021986582
2023-12-28,0.6200969308207323,0.6091632843951555,0.49172662860660127
2023-12-29,0.6191822253804703,0.6072692708517449,0.4905868191057135
2024-01-02,0.6202138941733458,0.6095584143706598,0.4930597254740482
2024-01-03,0.6504852635491971,0.6427631384057455,0.5215506062899932
2024-01-04,0.6564247463372762,0.6490414609137112,0.5275281125506595
2024-01-05,0.6714368221710193,0.6651444703532475,0.5416871776071974
2024-01-08,0.6589022584857758,0.6506460928595983,0.5284298214663724
2024-01-09,0.6607033443389262,0.6522843138320217,0.5299665480134211
2024-01-10,0.661675896787822,0.6530963133685406,0.5315004735007797
2024-01-11,0.6617568092533269,0.6525768970040856,0.5306804954290355
2024-01-12,0.6588969820479524,0.6502735370319295,0.5277954702632195
2024-01-15,0.6578704008689487,0.6492670362691926,0.5268816805495877
2024-01-16,0.6537474329279431,0.6434673552012505,0.5229394985765916
2024-01-17,0.6560517053366351,0.6453290160857547,0.5263739072605716
2024-01-18,0.6548553992424202,0.644186763680821,0.5253321791749335
2024-01-19,0.6666401615515627,0.6568600306574378,0.5362359208696795
2024-01-22,0.659619011120369,0.6485159009514423,0.529617538985839
2024-01-23,0.6538449557459552,0.6420131438641681,0.5244766455543974
2024-01-24,0.6567499831612124,0.6451297494503149,0.5269961283538729
2024-01-25,0.6534286905851359,0.641188799373487,0.5240839425112731
2024-01-29,0.6556839888314384,0.6437009838472191,0.526011367277147
2024-01-30,0.6496837317610916,0.6369373392640317,0.5203511075467098
2024-01-31,0.6524845703547265,0.6389325105953438,0.5225659361498597
2024-02-01,0.6594897112969417,0.6463460156149626,0.5288156859665594
2024-02-02,0.6658787668745123,0.6517213280557239,0.5312365016110853
2024-02-05,0.6588405346371355,0.6431842678659371,0.5239469034320613
2024-02-06,0.657805409398189,0.6420601307198377,0.5232784237610122
2024-02-07,0.6593892177266686,0.643018649292757,0.5243544591579868
2024-02-08,0.6591141264625958,0.6426791292816847,0.5241790923309909
2024-02-09,0.6582088738182647,0.6408479591680937,0.5228935270794588
2024-02-12,0.658263940407355,0.6407811338438925,0.5229045378151351
2024-02-13,0.6534271534388747,0.6353541462590346,0.5184207659129376
2024-02-14,0.6623212167915277,0.64494001872721,0.5254235520625917
2024-02-15,0.6688289533912791,0.6512594250416703,0.5314911420194124
2024-02-16,0.6641653675215589,0.6463910375359048,0.5276907667699536
2024-02-19,0.6645383145636266,0.6466028821739637,0.5277286259403882
2024-02-20,0.666835741176732,0.64849692998476,0.5296867651944103
2024-02-21,0.6645278133049166,0.6455705043156421,0.5270923434577686
2024-02-22,0.6635428241324244,0.6448394697230913,0.5256246846391049
2024-02-23,0.6660133348896752,0.6471147577629532,0.5273254184918025
2024-02-26,0.6607773048499491,0.6420554596753945,0.5225904900401691
2024-02-27,0.6595905436542872,0.6408371394185487,0.5216189052988063
2024-02-28,0.6662589274707356,0.6477821754640543,0.5266879418895535
2024-02-29,0.6657241830055244,0.6467813504641311,0.5258647501151865
2024-03-01,0.6680122742438749,0.6483778217780928,0.5276949425760659
2024-03-04,0.6657311449078117,0.645742911767288,0.5253790146600199
2024-03-05,0.6692117908148809,0.6486713839201795,0.5278701506669693
2024-03-06,0.6526828607471689,0.6296900603024722,0.5117434209306047
2024-03-07,0.6558339355728157,0.6327132104471674,0.5152332412499835
2024-03-08,0.6564423563891354,0.6317513128334489,0.5190740511968591
2024-03-11,0.6578124914216933,0.6319820943843338,0.5166319029309355
2024-03-12,0.6573128306832388,0.6308593925910685,0.5180331750095138
2024-03-13,0.6563531488628699,0.6300776619038424,0.5170297297109007
2024-03-14,0.6475096198361845,0.6208795685088933,0.5101577401656988
2024-03-15,0.6500010897703979,0.6202872928122614,0.5107963613675964
2024-03-18,0.6575407345702159,0.627344445754261,0.5212369926008383
2024-03-19,0.654277419131781,0.6235856618345806,0.5182453128506767
2024-03-20,0.6591235417310178,0.6278047394582735,0.5238951408635221
2024-03-21,0.66669095932432,0.6360983537232124,0.5312793420035287
2024-03-22,0.6625146273705109,0.6314784222397308,0.5283218276584396
2024-03-25,0.6603184219873008,0.6286867362782341,0.5257688261466563
2024-03-26,0.6670027208749294,0.6360129609776723,0.5336168206719284
2024-03-27,0.6659976758540065,0.6349143181328386,0.5324953605681227
2024-03-28,0.6681264045239762,0.636234616351249,0.5345115863770142
2024-04-02,0.6615169294676517,0.6293655483202376,0.529662824005131
2024-04-03,0.674163517132576,0.6420583915160071,0.541545171910223
2024-04-04,0.6765489192429333,0.6444967271515203,0.543593227672381
2024-04-05,0.676737094798873,0.6449243969628233,0.5438581091404175
2024-04-08,0.6746583494572549,0.6428215813395746,0.5422721056855186
2024-04-09,0.6790261878957499,0.6471455464238036,0.5482946446033184
2024-04-10,0.6734595673974282,0.6424010506194776,0.5435396269539507
2024-04-11,0.6765143018586952,0.6452600793856347,0.5460858781940492
2024-04-12,0.6661023326049154,0.634100593390063,0.5348055225120936
2024-04-15,0.6739395760207092,0.6430273108623085,0.5432609301285518
2024-04-16,0.677250632020563,0.6481904071362883,0.5447459098188743
2024-04-17,0.6762547737897642,0.6471241162044397,0.5437478085339398
2024-04-18,0.6774069746891507,0.647986289437106,0.5448208259218086
2024-04-19,0.6834227696219035,0.6547669334778483,0.5504444337448684
2024-04-22,0.6767700249595967,0.6480102700662039,0.5425370072295438
2024-04-23,0.6750983303851605,0.6464227532182218,0.5404469225379518
2024-04-24,0.6780793362675293,0.6507674601228577,0.5439330138429544
2024-04-26,0.6769389400099938,0.6488920104955411,0.5423921608389237
2024-04-29,0.676990090546012,0.6481251625726716,0.5417188566960749
2024-04-30,0.671933063481751,0.6437210613772907,0.5371379020887741
2024-05-01,0.6778326016832263,0.6495711902021926,0.543838907519046
2024-05-02,0.6808762361682874,0.6525645654980945,0.5477638934446345
2024-05-03,0.6805587672093251,0.6528662380047324,0.5477051891468794
2024-05-06,0.6793384308593713,0.6511867588824075,0.5470696752216121
2024-05-07,0.6856421868755771,0.6582044451432187,0.5530383405913829
2024-05-08,0.6866085068649599,0.6592676299857685,0.5543848603224855
2024-05-09,0.6893824015957178,0.662333551691956,0.5572532989638699
2024-05-14,0.6879916811321719,0.6601823471796467,0.5551433491909347
2024-05-15,0.6980518901970814,0.6706741119310385,0.5651349589318028
2024-05-16,0.7174409030106264,0.6900324718615952,0.5836936099234079
2024-05-17,0.7150345535971695,0.6874986357226985,0.5811815663453067
2024-05-20,0.7158379657855245,0.6882454461375422,0.5819776461214102
2024-05-21,0.7175835183868886,0.6892095209645828,0.5846399080832405
2024-05-22,0.7174231493849783,0.6890383839558715,0.5845649673689748
2024-05-23,0.7199950310674968,0.6913447475799193,0.5866181390612863
2024-05-24,0.7218603001508211,0.6922093719560728,0.5884813155568439
2024-05-27,0.717328469802099,0.6874645321389459,0.5825973866234718
2024-05-28,0.7178835912660895,0.6878577638185115,0.5830152104904865
2024-05-29,0.7151376362760804,0.6839010515899845,0.5808167658486273
2024-05-30,0.7175450014782053,0.6867488966977313,0.5836096167543716
2024-05-31,0.7190893967595938,0.6877708391274517,0.5868834613784367
2024-06-03,0.7249518752690358,0.6948145062091011,0.5928081252274083
2024-06-04,0.7198409948864509,0.6884947145279556,0.5868593797726891
2024-06-05,0.7189921657990077,0.687120496317653,0.5873296911889191
2024-06-06,0.7202798283710147,0.6887123696094124,0.5891787591191994
2024-06-07,0.7174153839982667,0.6861254645035084,0.5873303213333624
2024-06-11,0.7287914874585878,0.6957737159715786,0.5965049219048176
2024-06-12,0.7267446421229056,0.6934166027402554,0.5940860772223011
2024-06-13,0.7274910445905315,0.6937088010831401,0.5946581522076962
2024-06-14,0.7276470902721689,0.693601933759848,0.5945703043548594
2024-06-17,0.7320953574362229,0.698535291243387,0.5982468071182558
2024-06-18,0.7248190800181614,0.6915754374605297,0.5906198694396113
2024-06-19,0.7255495671189673,0.6921536110843688,0.5915068706876133
2024-06-20,0.725176574402169,0.6911975349430625,0.5905435890367443
2024-06-21,0.7224820392015603,0.688702389231586,0.5880152029409746
2024-06-24,0.7241534647568207,0.6910512305998995,0.59186716582491
2024-06-25,0.7288771093715337,0.6979752216574279,0.5966227113447894
2024-06-26,0.7271328176943149,0.6957651512409273,0.5948007247790308
2024-06-27,0.7299456198848955,0.6991995841407329,0.5979420556927871
2024-06-28,0.7311419889004235,0.7003727935298079,0.5992317154198253
2024-07-01,0.7298889501027168,0.6989752659671657,0.5979998603394004
2024-07-02,0.7307173046695332,0.6993431884481301,0.5984573354073771
2024-07-03,0.7259770427994421,0.6943832009821931,0.5939628365405628
2024-07-04,0.7288394617730186,0.697099687350783,0.5965152894905265
2024-07-05,0.7309911899827174,0.6993629065621244,0.5984485584096826
2024-07-08,0.7274169780222255,0.6961167273894596,0.5926577791052463
2024-07-09,0.7224187479820885,0.6917496137582564,0.5884201955850129
2024-07-10,0.7231317130760856,0.6924053153826815,0.5892236427529104
2024-07-11,0.725388687668806,0.695895945651724,0.5920773430427826
2024-07-12,0.7253145274736535,0.6923056079685816,0.5891572268716069
2024-07-15,0.7160368269794669,0.6842269090211642,0.5808930195996391
2024-07-16,0.711422747322,0.6796119796908615,0.5762476295183229
2024-07-17,0.7090732040590303,0.6767220398346647,0.5735854939804135
2024-07-18,0.7093078128711352,0.6777818341558105,0.5742711908172498
2024-07-19,0.7123730270979394,0.6811983995575066,0.5782698444095227
2024-07-22,0.7127892804232469,0.681919961176658,0.5788216391618963
2024-07-23,0.7130583615498789,0.6821422876956957,0.578977352003969
2024-07-24,0.7128803402233657,0.6820789137314789,0.5783876074258046
2024-07-25,0.7246664967275471,0.6965893225954286,0.5889714694915332
2024-07-26,0.7189607075000424,0.6905393811234419,0.5827588551258587
2024-07-29,0.7215906925443308,0.6942060959308954,0.5861554733830092
2024-07-30,0.719537358439684,0.6926260398780074,0.5849309578628967
2024-07-31,0.7262383585972264,0.697839885980285,0.591272134261922
2024-08-01,0.7332807548071747,0.7045384569677048,0.5975746120574272
2024-08-02,0.7410702104346052,0.7160899345834463,0.6042416612933733
2024-08-05,0.7462864021742883,0.7335345168040875,0.6021850779757515
2024-08-06,0.7468909587839694,0.7346762533143081,0.6022361011205631
2024-08-07,0.7446866936905525,0.7326592431305907,0.6004451980687439
2024-08-08,0.7438870642937001,0.7310336823662447,0.6003092448781194
2024-08-09,0.7519664526692865,0.7402760064710416,0.6079785885907117
2024-08-12,0.7517518548245755,0.7401563064552696,0.6079366826404399
2024-08-13,0.7498370577024323,0.7387267357720515,0.6066792583994515
2024-08-14,0.749298056516956,0.7386523165486373,0.6060265590269566
2024-08-15,0.7507726214546356,0.7408944561907546,0.6065545664659112
2024-08-16,0.7471567267969234,0.7389557787806275,0.6046740596469712
2024-08-19,0.746033408213825,0.7365075079756148,0.6037728561565162
2024-08-20,0.7478687292386622,0.7374923543804068,0.6049359313287409
2024-08-21,0.7511430668186937,0.7412514303940667,0.6074602384262959
2024-08-22,0.7512311822636988,0.7411091169262767,0.6077336850143454
2024-08-23,0.7450792483060173,0.7348224398917316,0.6010693627514264
2024-08-26,0.7497334052614559,0.7395990624445147,0.605659644334454
2024-08-27,0.7412652613943069,0.7295260320347559,0.5972324064264849
2024-08-28,0.7408947006793923,0.7287910021834306,0.5970529453412456
2024-08-29,0.7451450031211952,0.7326589231621785,0.5998589585053662
2024-08-30,0.7409802167887833,0.7285212685000686,0.5960571878000825
2024-09-02,0.740737982690198,0.7282939098724808,0.5957387656656108
2024-09-03,0.7366569199339807,0.7243089316809268,0.5922847969289872
2024-09-04,0.7549816938870213,0.7460237523006213,0.6095950121516749
2024-09-05,0.7651448690178414,0.7557731251690607,0.6185117931960417
2024-09-06,0.7578127125179314,0.7496377678754897,0.6119998323447979
2024-09-09,0.7612401075687069,0.7533574554690406,0.6156754595768903
2024-09-10,0.7611059553108972,0.7533261189779086,0.6156893192976065
2024-09-11,0.7609653111111668,0.7532628251889417,0.6155374194717812
2024-09-12,0.7619781294596166,0.7570998812888315,0.6156750527257251
2024-09-13,0.7624971521367265,0.7575284763386538,0.6165611607277567
2024-09-16,0.760553787965799,0.7552901635195735,0.6152638796538457
2024-09-17,0.7609634216964714,0.7556656144976662,0.6160216395250009
2024-09-18,0.7607715538191114,0.7552004655308497,0.6159970656936712
2024-09-19,0.7541891074559849,0.7494871216601238,0.6094298699606123
2024-09-20,0.7562929607512673,0.7518024104088639,0.6117715844769703
2024-09-23,0.7550286247516758,0.7517599923486646,0.6101384158408212
2024-09-24,0.7588676069077049,0.7566247465618036,0.6141477331623857
2024-09-25,0.7542829699400859,0.7518500310825252,0.6087522692470196
2024-09-26,0.7268573983111526,0.7247162546295622,0.5818368209147555
2024-09-27,0.7264626627168138,0.7233509231695302,0.5825858355999836
2024-09-30,0.7264861192746611,0.7220361579943814,0.5823127020664834
2024-10-01,0.7231715434339127,0.7179978369877079,0.5794084471659924
2024-10-02,0.7199432660806084,0.7131305841292057,0.5772314695650473
2024-10-03,0.706550025833179,0.6998551718791644,0.5658090472353097
2024-10-04,0.7018779375829342,0.694711834515834,0.5604079285627183
2024-10-07,0.6981469624621933,0.6913374464657381,0.5567424788272903
2024-10-08,0.6855215452225423,0.6805711910257571,0.5484765353117466
2024-10-09,0.68550479065178,0.6799269408063572,0.5487984326426103
2024-10-10,0.6780628096542599,0.6724171292407157,0.5423283925975003
2024-10-11,0.6773823177327457,0.6718515410087926,0.5417537896221172
2024-10-14,0.6789576974479048,0.6741048912955102,0.5433931959192048
2024-10-15,0.6675988308697474,0.6619587587268762,0.5331480487697877
2024-10-16,0.6699148868321789,0.6654664037662688,0.5357464731600485
2024-10-17,0.6683741650880536,0.663660831346497,0.5339731811827335
2024-10-18,0.6698548642293253,0.6654642688638535,0.535840776974437
2024-10-21,0.6630183640064764,0.6587993775987466,0.5299363299217109
2024-10-22,0.6692674654847859,0.6646407334521649,0.5356808757708275
2024-10-23,0.665294105579861,0.6604975853499134,0.5317057430665542
2024-10-24,0.6664899340524458,0.6618311396659817,0.5328198970437934
2024-10-25,0.6680573526568402,0.6637232686870418,0.5344987452204291
2024-10-28,0.6641520776506874,0.6594607598228981,0.5311347926378961
2024-10-29,0.6635602846409475,0.6590614277118664,0.5302407131196128
2024-10-30,0.6638356849189299,0.659000777148849,0.5299078822699635
2024-10-31,0.6691042855225492,0.6648644117788384,0.5346422925840545
2024-11-01,0.6723398548078665,0.6686979309282114,0.5389376858563858
2024-11-04,0.6630571600932839,0.6597292243763516,0.5295620251012638
2024-11-05,0.6652378847262765,0.6601809466718853,0.5315013200168358
2024-11-06,0.6503266971061076,0.6431805839856821,0.5171843250853047
2024-11-07,0.6219640516625979,0.619176044364171,0.4916114813848189
2024-11-08,0.6134777633988705,0.6105840999775299,0.4830578880310406
2024-11-11,0.6175967767009106,0.6139865669354821,0.48734249432624516
2024-11-12,0.6131429763688814,0.6088873932426583,0.4835936417948067
2024-11-13,0.6181078822679715,0.6136008434883353,0.48866720299783556
2024-11-14,0.6211781739152921,0.6175017297459685,0.49195791319449383
2024-11-15,0.5969605622163212,0.5931597131115138,0.4692339451852188
2024-11-18,0.5981290081953141,0.5939545336834903,0.47122700629488257
2024-11-19,0.600987407542199,0.5959713816779586,0.4733959295648242
2024-11-20,0.5999605401446575,0.59475284256981,0.47136895535635975
2024-11-21,0.6007237683082375,0.5956575332702526,0.4720569803093299
2024-11-22,0.5996995590280323,0.5946437243780353,0.4713432668675094
2024-11-25,0.5993495550174154,0.5944543032057311,0.4710665370393212
2024-11-26,0.6053926532828992,0.600163329580882,0.47724046431454425
2024-11-27,0.6054741065268543,0.600624192509041,0.477831318637844
2024-11-28,0.6052023877882402,0.6006251739786551,0.47760550102563665
2024-11-29,0.6112366739494229,0.6060323446858187,0.483131757451426
2024-12-02,0.6109822910777543,0.6058350820082125,0.48294820105724906
2024-12-03,0.6097568343304237,0.60494088694168,0.4820537200171036
2024-12-04,0.6110277176352318,0.6061224059182705,0.48202669794288683
2024-12-05,0.6033520452840514,0.598663168567313,0.47503901351587574
2024-12-06,0.6057370841402117,0.6032331580540594,0.47884834536387827
2024-12-09,0.6012366908346695,0.5991186870343381,0.4749239451149122
2024-12-10,0.5967582540014517,0.5955630885435532,0.46938269909267627
2024-12-11,0.6006865781718611,0.5996191208346934,0.4732383034713961
2024-12-12,0.601159637934946,0.6002050149251028,0.4738629381547695
2024-12-13,0.6027036335151517,0.6012097396240169,0.47518153263326435
2024-12-16,0.5858611362138834,0.5857300361604975,0.4599145556384474
2024-12-17,0.5829743485938375,0.5837944265266769,0.4568475924746216
2024-12-18,0.5801180053758832,0.5816573735155164,0.4554922728292179
2024-12-19,0.6022269677976487,0.6052001621288738,0.4775795541236226
2024-12-20,0.6017248008450118,0.6053585503338226,0.47701961346089766
